Name	Place	Type	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District
GH  Thiruvananthapuram 	 Thiruvananthapuram 	General Hospital	0471-2307874 	747	U 	generalhospitaltrivandrum@gmail.com 	Thiruvananthapuram 
GH  Neyyattinkara 	 Neyyattinkara 	General Hospital	0471-2221935 	436	U 	ghneyyatinkara@gmail.com 	Thiruvananthapuram 
GH  Pathanamthitta 	 Pathanamthitta 	General Hospital	0468-2222364 	414	U 	ghpathanamthitta@gmail.com 	Pathanamthitta 
GH  Adoor 	 Adoor 	General Hospital	04734-223236 	300	U 	gshadoor@gmail.com 	Pathanamthitta 
GH  Alappuzha 	 Alappuzha 	General Hospital	0477-2253324 	400	U 	ghalappuzha@gmail.com 	Alappuzha 
GH  Kottayam 	 Kottayam 	General Hospital	0481-2563611 	374	U 	districthospitalktm@gmail.com 	Kottayam 
GH  Pala 	 Pala 	General Hospital	04822-215154 	341	U 	suptpala@gmail.com 	Kottayam 
GH  Changanacherry 	 Changanacherry 	General Hospital	0481-2402349 	207	U 	thqhchry@gmail.com 	Kottayam 
GH  Kanjirappally 	 Kanjirappally 	General Hospital	04828-202292 	142	R 	thqhklpy@gmail.com 	Kottayam 
GH  Ernakulam 	 Ernakulam 	General Hospital	0484-2361251 	783	U 	generalhospitalernakulam@gmail.com 	Ernakulam 
GH  Moovattupuzha 	 Moovattupuzha 	General Hospital	0485-2832360 	266	U 	suptthqhmuvattupuzha@gmail.com 	Ernakulam 
GH  Thrissur 	 Thrissur 	General Hospital	0487-2427778 	240	U 	districthospitalthrissur@gmail.com,ghhthrissur@gmail.co m 	Thrissur 
GH  Irinjalakkuda 	 Irinjalakkuda 	General Hospital	0480-2825213 	216	U 	thqhijk@gmail.com 	Thrissur 
Panakkad Said Muhammadali Shihab Thangal Smaraka Government GH	Malappuram 	General Hospital	0483-2766425 	501	U 	dhmanjeri@gmail.com 	Malappuram
GH  Kozhikode 	 Kozhikode 	General Hospital	0495-2365367 	550	U 	gghkozhikode@gmail.com , ghkozhikode@gmail.com 	Kozhikode 
GH  Kalpetta 	 Kalpetta 	General Hospital	04936-206768 	250	U 	gh.kalpeta@gmail.com 	Wayanad
GH  Thalassery 	 Thalassery 	General Hospital	0490-2322150 	541	U 	supdtghtly@gmail.com 	Kannur
GH  Kasaragod 	 Kasaragod 	General Hospital	04994-230080 	212	U 	ghkasaragod@gmail.com 	Kasaragod 
DH Peroorkada	Peroorkada,TVPM 	District Hospital	0471-2432071 	337	U 	dmhperoorkada@gmail.com 	Thiruvananthapuram 
DH Nedumangad	Nedumangad,TVPM 	District Hospital	0472-2802262 	225	U 	thqhndd@gmail.com 	Thiruvananthapuram 
DH Kollam 	Kollam 	District Hospital	0474-2742004 	537	U 	dhkollam@gmail.com 	Kollam 
DH Kozhenchery	Kozhenchery, PTA 	District Hospital	0468-2214108 	234	R 	dhkpta@gmail.com 	Pathanamthitta 
DH Mavelikkara	Mavelikkara,ALPY 	District Hospital	0479-2303394 	347	U 	thqhmvkra@gmail.com 	Alappuzha 
DH Chenganoor	Chenganoor,Alpy 	District Hospital	0479-2452267 	140	U 	thqhchengannur@gmail.com 	Alappuzha 
DH Painvu	Painvu, IDK 	District Hospital	04862-232474 	130	R 	dhidukki@gmail.com 	Idukki
DH Thodupuzha	Thodupuzha,Idk 	District Hospital	04862-222630 	144	U 	supdtthqhtdpa@gmail.com 	Idukki
DH Aluva	Aluva,EKM 	District Hospital	0484-2629242 	217	U 	talukhospitalaluva@gmail.com 	Ernakulam 
DH Wadakkancery	Wadakkancery,TSR 	District Hospital	04884-235214 	117	U 	thqhwky@yahoo.com,thqhwky@gmail.com 	Thrissur 
DH Palakkad 	Palakkad 	District Hospital	0491-2533327 	544	U 	districthospitalpkd@gmail.com 	Palakkad
DH Thirur	Thirur, MLPM 	District Hospital	0494-2423834 	164	U 	ghtirur@gmail.com 	Malappuram
DH Perinthalmanna	Perinthalmanna,MLPM 	District Hospital	04933-228279 	177	U 	thqhperinthalmanna@gmail.com 	Malappuram
DH Nilamboor	Nilamboor, MLPM 	District Hospital	04931-220351 	142	U 	mothqhnilambur@gmail.com 	Malappuram
DH Vadakara	Vadakara, KKD 	District Hospital	0496-2524259 	210	U 	thqhvatakara@gmail.com 	Kozhikode 
DH Mananthavady	Mananthavady, WYND 	District Hospital	04935-240265 	500	U 	supd.dhmtdy@gmail.com 	Wayanad
DH Kannur 	Kannur 	District Hospital	04972-731234 	616	U 	dhkannur@yahoo.co.in 	Kannur
DH Kanhangad	Kanhangad, KSGD 	District Hospital	0467-2217018 	400	U 	knghospital@gmail.com 	Kasaragod 
THH Chirayinkeezhu 	Chirayinkeezhu 	Taluk Headquarters Hospital	0470-2646565 	243	R 	thqhckl@gmail.com 	Thiruvananthapuram 
THH Parassala 	Parassala 	Taluk Headquarters Hospital	0471-2202266 	119	R 	supt.thparassala@gmail.com 	Thiruvananthapuram 
THH Malayinkeezhu 	Malayinkeezhu 	Taluk Headquarters Hospital	0471-2282490 	58	R 	thmkyl@gmail.com 	Thiruvananthapuram 
THH Kottarakara 	Kottarakara 	Taluk Headquarters Hospital	0474-2452610 	217	U 	thqhktr@gmail.com 	Kollam 
THH Sasthamcotta 	Sasthamcotta 	Taluk Headquarters Hospital	0476-2831899 	140	R 	thqhsasthamcotta@gmail.com 	Kollam 
THH Punalur 	Punalur 	Taluk Headquarters Hospital	0475-2228702 	144	U 	thqhpunalur@gmail.com 	Kollam 
THH Karunagapally 	Karunagapally 	Taluk Headquarters Hospital	0476-2620256 	190	U 	thqhkarunagappally@yahoo.com 	Kollam 
THH Pathanapuram 	Pathanapuram 	Taluk Headquarters Hospital	0475-2352696 	12	R 	mochcptpm@yahoo.in 	Kollam 
THH Thiruvalla 	Thiruvalla 	Taluk Headquarters Hospital	0469-2602494 	173	U 	thqhtvl@gmail.com 	Pathanamthitta 
THH M.C. Cheriyan Memmorial	M.C. Cheriyan Memmorial, Ranni 	Taluk Headquarters Hospital	04735-227274 	105	R 	thqhranni@gmail.com 	Pathanamthitta 
THH Konni 	Konni 	Taluk Headquarters Hospital	0468-2243469 	24	R 	chckonni@gmail.com 	Pathanamthitta 
THH Mallappally 	Mallappally 	Taluk Headquarters Hospital	0469-2683084 	128	R 	thospitalmallappally@gmail.com 	Pathanamthitta 
THH Cherthala 	Cherthala 	Taluk Headquarters Hospital	0478-2812693 	251	U 	thqhcherthala@yahoo.com 	Alappuzha 
THH Pulinkunnu 	Pulinkunnu 	Taluk Headquarters Hospital	0477-2702355 	106	R 	pulincunnuthqh@gmail.com 	Alappuzha 
THH Harippad 	Harippad 	Taluk Headquarters Hospital	0479-2412765 	150	U 	thqhhharipad@gmail.com 	Alappuzha 
THH Kayamkulam 	Kayamkulam 	Taluk Headquarters Hospital	0479-2447274 	125	U 	thqhkayamkulam@gmail.com 	Alappuzha 
THH Pampady 	Pampady 	Taluk Headquarters Hospital	0481-2507866 	225	R 	thqhpampady@gmail.com 	Kottayam 
THH Kuravilangadu 	Kuravilangadu 	Taluk Headquarters Hospital	0482-2231616 	54	R 	thkvld@gmail.com 	Kottayam 
THH Vaikom 	Vaikom 	Taluk Headquarters Hospital	04829-231261 	272	U 	thqhvaikom41@gmail.com 	Kottayam 
THH Peerumade 	Peerumade 	Taluk Headquarters Hospital	04869-232424 	54	R 	thqhpeermade@yahoo.in 	Idukki
THH Adimaly 	Adimaly 	Taluk Headquarters Hospital	04864-222680 	100	R 	chcadimali@yahoo.com 	Idukki
THH Nedumkandam 	Nedumkandam 	Taluk Headquarters Hospital	04868-232650 	106	R 	suptchc@yahoo.com 	Idukki
THH Kattappana 	Kattappana 	Taluk Headquarters Hospital	04868-251711 	30	U 	phckattappana@gmail.com 	Idukki
THH Kochi 	Kochi 	Taluk Headquarters Hospital	0484-2216444 	240	U 	thqhkochi@gmail.com 	Ernakulam 
THH Thrippunithura 	Thrippunithura 	Taluk Headquarters Hospital	0484-2777315 	146	U 	thqhtpra@gmail.com 	Ernakulam 
THH Perumbavoor 	Perumbavoor 	Taluk Headquarters Hospital	0484-2972631 	216	U 	thqhpbvr@gmail.com 	Ernakulam 
THH North Paravur 	North Paravur 	Taluk Headquarters Hospital	0484-2442365 	155	U 	thqhnparur@yahoo.co.in 	Ernakulam 
THH Kothamangalam 	Kothamangalam 	Taluk Headquarters Hospital	0485-2822603 	173	U 	chckothamangalam@gmail.com 	Ernakulam 
THH Chavakkad 	Chavakkad 	Taluk Headquarters Hospital	0487-2501110 	140	U 	govthoscvd@gmail.com 	Thrissur 
THH Kodungalloor 	Kodungalloor 	Taluk Headquarters Hospital	0480-2802394 	176	U 	thqhkodungallur@gmail.com 	Thrissur 
THH Chalakkudy 	Chalakkudy 	Taluk Headquarters Hospital	0480-2701823 	144	U 	thqhsuperintendent@yahoo.com,ppuni tchalakudy@gmail.com 	Thrissur 
THH Alathoor 	Alathoor 	Taluk Headquarters Hospital	04922-222322 	154	R 	chcalathur@gmail.com 	Palakkad
THH Chittur 	Chittur 	Taluk Headquarters Hospital	04923-222385 	112	U 	ghchittur@gmail.com 	Palakkad
THH Ottappalam 	Ottappalam 	Taluk Headquarters Hospital	0466-2244480 	173	U 	thqhottapalam@gmail.com 	Palakkad
THH Mannarkkad 	Mannarkkad 	Taluk Headquarters Hospital	04924-222380 	123	U 	thqhmannarkkad@gmail.com 	Palakkad
THH Pattambi 	Pattambi 	Taluk Headquarters Hospital	0466-2213769 	76	U 	gthpattambi@gmail.com 	Palakkad
THH Ponnani 	Ponnani 	Taluk Headquarters Hospital	0494-2663089 	125	U 	officethqhponnani@gmail.com 	Malappuram
THH Thirurangadi 	Thirurangadi 	Taluk Headquarters Hospital	0494-2460372 	157	U 	thqhtirurangadi@gmail.com 	Malappuram
THH Malappuram 	Malappuram 	Taluk Headquarters Hospital	0483-2734866 	116	U 	supdtthqhmpm@gmail.com 	Malappuram
THH Kondotty 	Kondotty 	Taluk Headquarters Hospital	0483-2710586 	24	U 	mophckondotty@gmail.com 	Malappuram
THH Koilandy 	Koilandy 	Taluk Headquarters Hospital	0496-2960241 	159	U 	talukhospitalkoyilandy 	Kozhikode 
THH Sulthan Bathery 	Sulthan Bathery 	Taluk Headquarters Hospital	04936-221136 	57	U 	thqh.bathery@gmail.com 	Wayanad
THH Vythiri 	Vythiri 	Taluk Headquarters Hospital	04936-255228 	129	R 	thqh.vythiri@gmail.com 	Wayanad
THH Thaliparamba	Thaliparamba,KNR 	Taluk Headquarters Hospital	0460-2203298 	171	U 	thqhtpba@gmail.com 	Kannur
