Name	Place	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District	Type	
GH  Thiruvananthapuram 	 Thiruvananthapuram 	0471-2307874 	747	U 	generalhospitaltrivandrum@gmail.com 	Thiruvananthapuram 	General Hospital	GH
GH  Neyyattinkara 	 Neyyattinkara 	0471-2221935 	436	U 	ghneyyatinkara@gmail.com 	Thiruvananthapuram 	General Hospital	GH
GH  Pathanamthitta 	 Pathanamthitta 	0468-2222364 	414	U 	ghpathanamthitta@gmail.com 	Pathanamthitta 	General Hospital	GH
GH  Adoor 	 Adoor 	04734-223236 	300	U 	gshadoor@gmail.com 	Pathanamthitta 	General Hospital	GH
GH  Alappuzha 	 Alappuzha 	0477-2253324 	400	U 	ghalappuzha@gmail.com 	Alappuzha 	General Hospital	GH
GH  Kottayam 	 Kottayam 	0481-2563611 	374	U 	districthospitalktm@gmail.com 	Kottayam 	General Hospital	GH
GH  Pala 	 Pala 	04822-215154 	341	U 	suptpala@gmail.com 	Kottayam 	General Hospital	GH
GH  Changanacherry 	 Changanacherry 	0481-2402349 	207	U 	thqhchry@gmail.com 	Kottayam 	General Hospital	GH
GH  Kanjirappally 	 Kanjirappally 	04828-202292 	142	R 	thqhklpy@gmail.com 	Kottayam 	General Hospital	GH
GH  Ernakulam 	 Ernakulam 	0484-2361251 	783	U 	generalhospitalernakulam@gmail.com 	Ernakulam 	General Hospital	GH
GH  Moovattupuzha 	 Moovattupuzha 	0485-2832360 	266	U 	suptthqhmuvattupuzha@gmail.com 	Ernakulam 	General Hospital	GH
GH  Thrissur 	 Thrissur 	0487-2427778 	240	U 	districthospitalthrissur@gmail.com,ghhthrissur@gmail.co m 	Thrissur 	General Hospital	GH
GH  Irinjalakkuda 	 Irinjalakkuda 	0480-2825213 	216	U 	thqhijk@gmail.com 	Thrissur 	General Hospital	GH
Panakkad Said Muhammadali Shihab Thangal Smaraka Government GH	Malappuram 	0483-2766425 	501	U 	dhmanjeri@gmail.com 	Malappuram	General Hospital	GH
GH  Kozhikode 	 Kozhikode 	0495-2365367 	550	U 	gghkozhikode@gmail.com , ghkozhikode@gmail.com 	Kozhikode 	General Hospital	GH
GH  Kalpetta 	 Kalpetta 	04936-206768 	250	U 	gh.kalpeta@gmail.com 	Wayanad	General Hospital	GH
GH  Thalassery 	 Thalassery 	0490-2322150 	541	U 	supdtghtly@gmail.com 	Kannur	General Hospital	GH
GH  Kasaragod 	 Kasaragod 	04994-230080 	212	U 	ghkasaragod@gmail.com 	Kasaragod 	General Hospital	GH
